Number of epoch,training-error,validate-error,Team B,Team A,GK B,GK A,Ground,Advertisement,Audience,Goal Bar,Ball,Referee,Coach
0,0.624222,0.486106,0.0279929,0.0055593,0.00949503,0.0448994,0.231376,0.0830099,0.00664619,0.0401313,0.00287794,0.0153393,0
1,0.605898,0.468657,0.00500826,0.00208704,0.020052,0.0111548,0.409938,0.126415,0.0490201,0.0436057,0.000808676,0.00315572,0
2,0.586,0.455428,0.000796316,0.000442877,0.0171407,0.00337911,0.573134,0.167001,0.132908,0.0531641,0.000355562,6.00601e-05,0
3,0.571709,0.443782,0.000380877,0.000326329,0.0266939,0.00122802,0.590815,0.24919,0.220723,0.0468618,0.000219187,0.000564951,0
4,0.556241,0.432302,0.000376548,0.000271467,0.0201177,0.000579117,0.725168,0.313393,0.282117,0.0512739,0.000190784,0.000333333,0
5,0.536917,0.418583,0.000542764,0,0.0106022,0.00010193,0.794645,0.348457,0.332864,0.0321291,0.00105061,0.000510116,0
6,0.524532,0.417366,0.000930544,0,0.00106521,0.000172461,0.786088,0.357432,0.332992,0.0254379,0.00121229,0,0
7,0.514926,0.391785,0.000704759,0,0.00234422,3.44116e-05,0.8139,0.296023,0.37541,0.0392499,0.00113505,0.000455685,0
8,0.496315,0.379098,0.00242869,0,0.00117947,0,0.828031,0.284605,0.427323,0.0287468,0.00367779,0.000683761,0
9,0.479406,0.367906,0.00850848,0,0.000620245,0.000206441,0.847969,0.309234,0.683197,0.0182055,0.00610954,0.000341763,0
10,0.46173,0.353164,0.0170555,0,0.000609109,0.00048814,0.880045,0.306367,0.743039,0.0389265,0.0058446,0,0
11,0.456535,0.342589,0.00503881,0,0.000116496,6.88705e-05,0.859096,0.311589,0.777567,0.0278276,0.00206423,0.000113921,0
12,0.432997,0.329987,0.0116826,0.000528376,0.0006268,0.000240947,0.868247,0.274002,0.787439,0.0212884,0.00355741,0,0
13,0.422326,0.316529,0.0401159,0.00149488,0.000206697,0.000710199,0.851043,0.258372,0.791489,0.00698693,0.000498504,0.000676819,0
14,0.408644,0.308381,0.047932,0.00961972,0.000252958,0.000170509,0.87808,0.288987,0.774259,0.0390463,0.00129061,0.000452597,0
15,0.394986,0.294951,0.0426934,0.0262171,0,3.38753e-05,0.904272,0.30935,0.773886,0.0114702,0.00305212,0,0
16,0.380409,0.283965,0.0411724,0.0434908,0,0.000338432,0.868564,0.287577,0.760445,0.00464218,0.0016018,0.000121168,0
17,0.34962,0.276393,0.0647394,0.0490925,5.83158e-05,0.00119444,0.901661,0.313022,0.78002,0.0236273,0.00489307,0.000520704,0
18,0.362116,0.267894,0.0593649,0.0525656,0,0.000409676,0.873263,0.240507,0.760108,0.0117132,0.00325923,0.000451716,0
19,0.339418,0.257652,0.0549054,0.0447687,0,0.000172028,0.909673,0.266879,0.79033,0.00844628,0.00261141,0.000121278,0
20,0.335245,0.252487,0.0369353,0.0799802,0,0.000310786,0.885185,0.238716,0.801792,0.0100646,0.00520946,0.000582836,0
21,0.31472,0.241572,0.0639119,0.100993,0,0.000286966,0.889378,0.323941,0.798433,0.00826396,0.00820491,0.000295467,0
22,0.290135,0.235793,0.0768889,0.114081,0,0.000754242,0.900689,0.268808,0.781256,0.003877,0.00344725,0.000461282,0
23,0.289669,0.229717,0.0306931,0.166756,0,0.000258031,0.887876,0.390822,0.825815,0.00531997,0.0042661,0.00149151,0
24,0.31149,0.226085,0.14087,0.164471,0.000116279,0.00159019,0.896267,0.39333,0.77595,0.0136037,0.00568117,0.00067625,0
25,0.271246,0.221351,0.0275738,0.240412,5.83567e-05,0.000152449,0.896073,0.488741,0.808057,0.00272799,0.00278038,0.00151161,0
26,0.283593,0.214149,0.0423107,0.242142,0,0.000181721,0.918232,0.438151,0.819849,0.00421467,0.00875307,0.00123789,0
27,0.257249,0.209292,0.127615,0.205997,0,0.00132575,0.918357,0.499832,0.810836,0.00493631,0.000570776,0.000173519,0
28,0.268339,0.204355,0.1274,0.231393,0,0.00102394,0.915955,0.490036,0.812831,0.00737468,0,0.00028754,0
29,0.251898,0.201602,0.208706,0.233905,0,0.00254367,0.933216,0.651695,0.789627,0.0101487,0,0.000287828,0
30,0.24344,0.196694,0.0260854,0.287849,0,4.59306e-05,0.890333,0.60187,0.816561,0.000856083,0,0.000348988,0
31,0.231143,0.192278,0.143645,0.275835,0,0.000352102,0.888421,0.562017,0.817768,0.00794755,0,0,0
32,0.231802,0.194995,0.061154,0.317433,0,0,0.919737,0.703416,0.834728,0.00305653,0,0.000399304,0
33,0.220414,0.185649,0.122121,0.357486,0,0,0.925635,0.692099,0.817771,0.00770078,0,6.06391e-05,0
34,0.217823,0.180302,0.119864,0.389536,0,0,0.922357,0.704967,0.841365,0.00897659,0,0,0
35,0.22053,0.176196,0.182747,0.412753,0,0,0.921129,0.699244,0.814603,0.00827664,0,0,0
36,0.214664,0.171728,0.16228,0.453843,0,0,0.912904,0.616651,0.821601,0.00890102,0,0,0
37,0.210583,0.167844,0.235155,0.446602,0,5.08631e-05,0.934634,0.744717,0.823175,0.00714288,0,0,0
38,0.21955,0.165336,0.123462,0.447693,0,0,0.926787,0.75707,0.827995,0.00339782,0,0,0
39,0.207057,0.161225,0.282052,0.434284,0,0,0.936995,0.736663,0.818556,0.0134882,0,0,0
40,0.214933,0.165051,0.301654,0.486372,0,0,0.915771,0.717636,0.845171,0.00949782,0,0,0
41,0.183395,0.160474,0.221517,0.477221,0,3.45018e-05,0.898064,0.764941,0.851149,0.00482708,0,0,0
42,0.172247,0.157701,0.267689,0.486036,0,0,0.908123,0.773843,0.858286,0.00522068,0,0,0
43,0.174739,0.151314,0.2712,0.520905,0,0,0.923714,0.757308,0.860615,0.0125966,0,0,0
44,0.195281,0.151699,0.33287,0.491847,0,0,0.921295,0.774212,0.871765,0.00901567,0,0,0
45,0.172796,0.147724,0.281586,0.472746,0,0,0.923128,0.793016,0.8538,0.0134697,0,0,0
46,0.173669,0.149608,0.302932,0.538791,0,0,0.892251,0.763422,0.865661,0.00690136,0,0,0
47,0.146409,0.143323,0.390088,0.534751,0,0,0.912259,0.790449,0.869517,0.0152857,0,0,0
48,0.160663,0.139057,0.383403,0.537986,0,0,0.906209,0.801406,0.863383,0.0229896,0,0,0
49,0.159136,0.136331,0.454336,0.564751,0,0,0.911165,0.782944,0.871095,0.0226834,0,0,0
