Number of epoch,training-error,validate-error,Team B,Team A,GK B,GK A,Ground,Advertisement,Audience,Goal Bar,Ball,Referee,Coach
0,0.44956,0.245993,0.348118,0.0136883,0.109134,0.00669526,0.794356,0.355094,0.640563,0.000952381,0,0,0
1,0.279224,0.208892,0.178455,0.211334,0.0701612,0.149654,0.808256,0.533423,0.65928,0.0646698,0,0,0
2,0.23949,0.190237,0.126218,0.0427247,0.123896,0.0663539,0.80362,0.404186,0.705699,0.0816499,0,0,0
3,0.19746,0.176447,0.390902,0.378652,0.0840404,0.216268,0.856719,0.507112,0.706952,0.0612202,0,0,0
4,0.17017,0.157884,0.372459,0.471359,0.00320605,0.400409,0.890929,0.557431,0.738182,0.28119,0,0,0
5,0.162947,0.134873,0.329079,0.465655,0.110418,0.417967,0.882878,0.569863,0.783558,0.260549,0,0,0
6,0.159074,0.161878,0.431626,0.47978,0.12692,0.132489,0.872106,0.535875,0.67775,0.381032,0,0.0213995,0
7,0.145523,0.111866,0.495434,0.410301,0.0195006,0.174438,0.879516,0.661703,0.745357,0.275001,0,0,0
8,0.151762,0.0937785,0.520943,0.302699,0.237103,0.352682,0.883706,0.594115,0.728433,0.303998,0,0.138504,0
9,0.148284,0.102415,0.566997,0.480592,0.216203,0.348447,0.870889,0.708676,0.800329,0.0486054,0,0.194344,0
10,0.131547,0.0787456,0.51619,0.438396,0.362028,0.488295,0.906894,0.702611,0.79654,0.312346,0,0.282566,0
11,0.157779,0.123184,0.531574,0.431928,0.401439,0.388887,0.858569,0.66292,0.697157,0.246267,0,0.211799,0
12,0.128985,0.108545,0.576886,0.492333,0.00592023,0.532143,0.886327,0.748439,0.7638,0.252115,0,0.237399,0
13,0.111351,0.0785009,0.525101,0.467905,0.443291,0.465571,0.909973,0.727092,0.824441,0.310307,0.0170188,0.25159,0
14,0.123349,0.084481,0.5514,0.505086,0.357158,0.494161,0.890626,0.795075,0.824464,0.102111,0,0.289909,0
15,0.123233,0.0874987,0.496981,0.509386,0.340964,0.374707,0.908182,0.743342,0.83592,0.127843,0.00297619,0.304695,0
16,0.110782,0.0843244,0.576715,0.526933,0.379891,0.487965,0.906272,0.765826,0.805565,0.242084,0,0.307546,0
17,0.101975,0.101002,0.541784,0.573517,0.354522,0.315212,0.88126,0.722406,0.830498,0.193868,0.000892857,0.289874,0
18,0.0981428,0.0780013,0.564189,0.536768,0.424913,0.3883,0.885789,0.765657,0.837283,0.112609,0,0.196712,0
19,0.0906765,0.0875947,0.620732,0.541442,0.451486,0.457022,0.9057,0.812339,0.818059,0.17895,0.00386905,0.332341,0
20,0.0879276,0.112145,0.557068,0.545734,0.401811,0.516086,0.910611,0.843213,0.851676,0.215785,0.00595238,0.308278,0
21,0.0852669,0.0694145,0.646126,0.585264,0.484619,0.523875,0.888126,0.80397,0.857081,0.255581,0.0142857,0.368396,0
22,0.0810265,0.0676114,0.592264,0.455892,0.394215,0.456509,0.899691,0.806804,0.852771,0.373718,0.0202465,0.305711,0
23,0.0845964,0.0848489,0.570913,0.61539,0.353586,0.533333,0.882459,0.832896,0.837442,0.257427,0.0116071,0.37136,0
24,0.0863464,0.0715533,0.615007,0.606995,0.301452,0.468903,0.92022,0.863605,0.861678,0.226086,0,0.30695,0
25,0.0870548,0.0631896,0.626434,0.547876,0.344804,0.29399,0.883688,0.851597,0.81646,0.375883,0.0193222,0.411956,0
26,0.0767888,0.0674687,0.626048,0.609711,0.258479,0.39394,0.917141,0.835322,0.854794,0.39662,0.0171911,0.390305,0
27,0.0782642,0.0645782,0.643265,0.606944,0.178328,0.472278,0.920849,0.871845,0.880318,0.228506,0.000595238,0.346661,0
28,0.0825988,0.0738574,0.651488,0.587578,0.12029,0.389583,0.800361,0.835551,0.809317,0.156008,0.0142518,0.409251,0
29,0.0875089,0.0586104,0.625243,0.53056,0.407161,0.431821,0.921614,0.845393,0.849135,0.316525,0.0077381,0.376394,0
30,0.0739024,0.0893556,0.592357,0.646147,0.240357,0.549037,0.869251,0.819924,0.824254,0.328209,0.000595238,0.363662,0
31,0.0670532,0.0552589,0.70617,0.652475,0.44483,0.491698,0.930866,0.897027,0.88581,0.426021,0.0291762,0.474511,0
32,0.0675996,0.0737934,0.676636,0.563669,0.318394,0.290584,0.878606,0.865485,0.851152,0.377887,0.0298883,0.362403,0
33,0.0747418,0.0637746,0.70366,0.678146,0.453147,0.4718,0.921829,0.826761,0.848115,0.425191,0.024673,0.432274,0
34,0.0704433,0.0578497,0.687179,0.593702,0.480629,0.531593,0.922601,0.885522,0.870005,0.464527,0.0306183,0.336311,0
35,0.0603509,0.0506115,0.758453,0.678203,0.444837,0.544272,0.927975,0.880939,0.895946,0.362964,0.0481506,0.574625,0
36,0.0570546,0.0454917,0.719487,0.619833,0.555802,0.535433,0.933239,0.896005,0.896481,0.378157,0.0188902,0.427948,0
37,0.0566055,0.0480725,0.726258,0.684601,0.405479,0.498149,0.927796,0.874361,0.896129,0.61285,0.0311419,0.468474,0
38,0.0606278,0.0629202,0.709468,0.626197,0.460972,0.535371,0.923972,0.797202,0.80014,0.502543,0,0.447108,0
39,0.0638106,0.0548169,0.758584,0.671163,0.523429,0.580905,0.929728,0.898637,0.899482,0.427217,0.0338691,0.595405,0
40,0.0614612,0.051178,0.667785,0.669204,0.535823,0.484411,0.915957,0.8798,0.878824,0.288711,0,0.600457,0
41,0.0612393,0.0750561,0.698395,0.698469,0.535265,0.536242,0.931804,0.811083,0.880867,0.428872,0.00595238,0.482006,0
42,0.0621233,0.041589,0.762316,0.715694,0.4832,0.591101,0.93909,0.908597,0.892635,0.470302,0.000297619,0.564685,0
43,0.0841353,0.0457649,0.743691,0.587655,0.382615,0.55954,0.913095,0.915054,0.855114,0.347179,0.0132353,0.494755,0
44,0.0684195,0.0460473,0.68865,0.571467,0.480999,0.527053,0.927354,0.857458,0.876797,0.404687,0.00714286,0.407991,0
45,0.054831,0.0577083,0.761828,0.705584,0.434292,0.553289,0.937949,0.904841,0.880835,0.439256,0,0.462978,0
46,0.0542512,0.0480677,0.717215,0.585945,0.46057,0.604018,0.922303,0.904364,0.881105,0.525455,0.0648165,0.562484,0
47,0.0514538,0.0428262,0.766471,0.650714,0.274392,0.557243,0.935768,0.923921,0.903515,0.690094,0.0610364,0.633999,0
48,0.0506275,0.0358512,0.761177,0.710289,0.444389,0.565974,0.943037,0.923821,0.90287,0.687373,0.0401441,0.56642,0
49,0.0649962,0.0619563,0.756259,0.703016,0.574549,0.6079,0.940309,0.868027,0.893098,0.505316,0.00297619,0.566519,0
